% surf1x	surf1y	T (K)
-4.961734694	-4.930555556	300.0052644
-4.885204082	-4.930555556	300.0052394
-4.808673469	-4.930555556	300.0052915
-4.732142857	-4.930555556	300.0053802
-4.655612245	-4.930555556	300.0055057
-4.579081633	-4.930555556	300.005668
-4.50255102	-4.930555556	300.0058669
-4.426020408	-4.930555556	300.0061026
-4.349489796	-4.930555556	300.0063751
-4.272959184	-4.930555556	300.0066842
-4.196428571	-4.930555556	300.0070301
-4.119897959	-4.930555556	300.0074127
-4.043367347	-4.930555556	300.0078321
-3.966836735	-4.930555556	300.0082882
-3.890306122	-4.930555556	300.008781
-3.81377551	-4.930555556	300.0093106
-3.737244898	-4.930555556	300.0098768
-3.660714286	-4.930555556	300.0104799
-3.584183673	-4.930555556	300.0111196
-3.507653061	-4.930555556	300.0118234
-3.431122449	-4.930555556	300.0118253
-3.354591837	-4.930555556	300.0124814
-3.278061224	-4.930555556	300.013212
-3.201530612	-4.930555556	300.014017
-3.125	-4.930555556	300.0148964
-3.048469388	-4.930555556	300.0158502
-2.971938776	-4.930555556	300.0168785
-2.895408163	-4.930555556	300.0179813
-2.818877551	-4.930555556	300.0191584
-2.742346939	-4.930555556	300.02041
-2.665816327	-4.930555556	300.021736
-2.589285714	-4.930555556	300.0231365
-2.512755102	-4.930555556	300.0246114
-2.43622449	-4.930555556	300.0261607
-2.359693878	-4.930555556	300.0277845
-2.283163265	-4.930555556	300.0294827
-2.206632653	-4.930555556	300.0312553
-2.130102041	-4.930555556	300.0331023
-2.053571429	-4.930555556	300.0350238
-1.977040816	-4.930555556	300.0362303
-1.900510204	-4.930555556	300.0374708
-1.823979592	-4.930555556	300.0392591
-1.74744898	-4.930555556	300.040991
-1.670918367	-4.930555556	300.0426665
-1.594387755	-4.930555556	300.0442858
-1.517857143	-4.930555556	300.0458487
-1.441326531	-4.930555556	300.0473553
-1.364795918	-4.930555556	300.0488055
-1.288265306	-4.930555556	300.0501995
-1.211734694	-4.930555556	300.0515371
-1.135204082	-4.930555556	300.0528183
-1.058673469	-4.930555556	300.0540433
-0.982142857	-4.930555556	300.0552119
-0.905612245	-4.930555556	300.0563241
-0.829081633	-4.930555556	300.0573801
-0.75255102	-4.930555556	300.0583797
-0.676020408	-4.930555556	300.059323
-0.599489796	-4.930555556	300.0602099
-0.522959184	-4.930555556	300.0611405
-0.446428571	-4.930555556	300.0629131
-0.369897959	-4.930555556	300.0646259
-0.293367347	-4.930555556	300.0661422
-0.216836735	-4.930555556	300.067462
-0.140306122	-4.930555556	300.0685854
-0.06377551	-4.930555556	300.0695123
0.012755102	-4.930555556	300.0702427
0.089285714	-4.930555556	300.0707766
0.165816327	-4.930555556	300.0711141
0.242346939	-4.930555556	300.0712551
0.318877551	-4.930555556	300.0711996
0.395408163	-4.930555556	300.0709477
0.471938776	-4.930555556	300.0704993
0.548469388	-4.930555556	300.0698544
0.625	-4.930555556	300.069013
0.701530612	-4.930555556	300.0679752
0.778061224	-4.930555556	300.0667409
0.854591837	-4.930555556	300.0653101
0.931122449	-4.930555556	300.0636829
1.007653061	-4.930555556	300.0635229
1.084183673	-4.930555556	300.0618955
1.160714286	-4.930555556	300.0604932
1.237244898	-4.930555556	300.0592347
1.31377551	-4.930555556	300.0581199
1.390306122	-4.930555556	300.0571489
1.466836735	-4.930555556	300.0563216
1.543367347	-4.930555556	300.0556381
1.619897959	-4.930555556	300.0550983
1.696428571	-4.930555556	300.0547022
1.772959184	-4.930555556	300.0544499
1.849489796	-4.930555556	300.0543413
1.926020408	-4.930555556	300.0543765
2.00255102	-4.930555556	300.0545554
2.079081633	-4.930555556	300.0548781
2.155612245	-4.930555556	300.0553445
2.232142857	-4.930555556	300.0559546
2.308673469	-4.930555556	300.0567085
2.385204082	-4.930555556	300.0576061
2.461734694	-4.930555556	300.058527
2.538265306	-4.930555556	300.0586613
2.614795918	-4.930555556	300.0603096
2.691326531	-4.930555556	300.0621606
2.767857143	-4.930555556	300.0641777
2.844387755	-4.930555556	300.0663608
2.920918367	-4.930555556	300.0687099
2.99744898	-4.930555556	300.0712251
3.073979592	-4.930555556	300.0739063
3.150510204	-4.930555556	300.0767536
3.227040816	-4.930555556	300.079767
3.303571429	-4.930555556	300.0829463
3.380102041	-4.930555556	300.0862917
3.456632653	-4.930555556	300.0898032
3.533163265	-4.930555556	300.0934807
3.609693878	-4.930555556	300.0973243
3.68622449	-4.930555556	300.1013339
3.762755102	-4.930555556	300.1055095
3.839285714	-4.930555556	300.1098512
3.915816327	-4.930555556	300.114359
3.992346939	-4.930555556	300.1199437
4.068877551	-4.930555556	300.1204827
4.145408163	-4.930555556	300.1272471
4.221938776	-4.930555556	300.1339655
4.298469388	-4.930555556	300.1406379
4.375	-4.930555556	300.1472642
4.451530612	-4.930555556	300.1538446
4.528061224	-4.930555556	300.160379
4.604591837	-4.930555556	300.1668673
4.681122449	-4.930555556	300.1733096
4.757653061	-4.930555556	300.179706
4.834183673	-4.930555556	300.1860563
4.910714286	-4.930555556	300.1923606
4.987244898	-4.930555556	300.1986189
5.06377551	-4.930555556	300.2048311
5.140306122	-4.930555556	300.2109974
5.216836735	-4.930555556	300.2171177
5.293367347	-4.930555556	300.2231919
5.369897959	-4.930555556	300.2292202
5.446428571	-4.930555556	300.2352024
5.522959184	-4.930555556	300.2363213
5.599489796	-4.930555556	300.2355099
5.676020408	-4.930555556	300.2347499
5.75255102	-4.930555556	300.2337087
5.829081633	-4.930555556	300.2323863
5.905612245	-4.930555556	300.2307826
5.982142857	-4.930555556	300.2288977
6.058673469	-4.930555556	300.2267315
6.135204082	-4.930555556	300.224284
6.211734694	-4.930555556	300.2215553
6.288265306	-4.930555556	300.2185453
6.364795918	-4.930555556	300.2152541
6.441326531	-4.930555556	300.2116816
6.517857143	-4.930555556	300.2078279
6.594387755	-4.930555556	300.2036929
6.670918367	-4.930555556	300.1992767
6.74744898	-4.930555556	300.1945792
6.823979592	-4.930555556	300.1896004
6.900510204	-4.930555556	300.1843404
6.977040816	-4.930555556	300.1795516
7.053571429	-4.930555556	300.1798946
7.130102041	-4.930555556	300.1751439
7.206632653	-4.930555556	300.1702973
7.283163265	-4.930555556	300.1653547
7.359693878	-4.930555556	300.1603163
7.43622449	-4.930555556	300.155182
7.512755102	-4.930555556	300.1499518
7.589285714	-4.930555556	300.1446256
7.665816327	-4.930555556	300.1392036
7.742346939	-4.930555556	300.1336857
7.818877551	-4.930555556	300.1280719
7.895408163	-4.930555556	300.1223622
7.971938776	-4.930555556	300.1165565
8.048469388	-4.930555556	300.110655
8.125	-4.930555556	300.1046576
8.201530612	-4.930555556	300.0985643
8.278061224	-4.930555556	300.0923751
8.354591837	-4.930555556	300.08609
8.431122449	-4.930555556	300.0797089
8.507653061	-4.930555556	300.0760324
8.584183673	-4.930555556	300.0730892
8.660714286	-4.930555556	300.0702034
8.737244898	-4.930555556	300.0674646
8.81377551	-4.930555556	300.0648727
8.890306122	-4.930555556	300.0624279
8.966836735	-4.930555556	300.0601301
9.043367347	-4.930555556	300.0579792
9.119897959	-4.930555556	300.0559754
9.196428571	-4.930555556	300.0541185
9.272959184	-4.930555556	300.0524087
9.349489796	-4.930555556	300.0508458
9.426020408	-4.930555556	300.04943
9.50255102	-4.930555556	300.0481611
9.579081633	-4.930555556	300.0470392
9.655612245	-4.930555556	300.0460644
9.732142857	-4.930555556	300.0452365
9.808673469	-4.930555556	300.0445556
9.885204082	-4.930555556	300.0440218
9.961734694	-4.930555556	300.0441804
-4.961734694	-4.791666667	300.005332
-4.885204082	-4.791666667	300.0052444
-4.808673469	-4.791666667	300.0052474
-4.732142857	-4.791666667	300.0053602
-4.655612245	-4.791666667	300.0055096
-4.579081633	-4.791666667	300.0056959
-4.50255102	-4.791666667	300.0059188
-4.426020408	-4.791666667	300.0061785
-4.349489796	-4.791666667	300.0064749
-4.272959184	-4.791666667	300.006808
-4.196428571	-4.791666667	300.0071779
-4.119897959	-4.791666667	300.0075845
